ID,Q201601_MILES,Q201601_SPONSORS,Q201602_MILES,Q201602_SPONSORS,Q201603_MILES,Q201603_SPONSORS,Q201604_MILES,Q201604_SPONSORS,FLAG,MILES201601GROCERY,MILES201602GROCERY,MILES201603GROCERY,MILES201604GROCERY,MILES201601CREDIT_CARD,MILES201602CREDIT_CARD,MILES201603CREDIT_CARD,MILES201604CREDIT_CARD,MILES201601OTHER,MILES201602OTHER,MILES201603OTHER,MILES201604OTHER,PROGRAM_TIER,PROVINCE,EMAIL_OPTIN,DEC_2016_ACCOUNT_BALANCE
1,58,1,36,2,38,2,72,2,0,58,35,37,56,0,0,0,16,0,1,1,0,B,ON,Y,266
2,43,4,153,4,186,3,246,4,1,7,22,12,23,29,126,174,219,7,5,0,4,B,?,N,28
4,291,8,455,4,711,7,338,8,0,33,1,41,50,135,342,465,123,123,112,205,165,G,AB,Y,6085
5,117,4,110,4,113,3,119,3,0,34,26,24,41,0,0,0,0,83,84,89,78,B,BC,Y,416
7,1222,4,2154,4,1405,4,1858,7,0,6,0,1,2,1201,2130,1367,1811,15,24,37,45,O,AB,N,13111
8,143,3,450,2,18,3,23,2,1,4,0,2,20,135,447,12,0,4,3,4,3,G,BC,Y,11666
9,282,3,303,2,224,2,268,3,0,12,26,15,28,269,277,209,239,1,0,0,1,G,QC,N,11345
11,56,1,186,1,224,2,26,1,0,0,0,0,0,56,186,222,26,0,0,2,0,B,ON,N,3362
12,1472,6,1625,5,1143,4,1232,5,0,200,512,42,98,1179,1044,1030,1071,93,69,71,63,O,BC,Y,2313
13,58,2,48,4,50,4,94,6,0,0,5,0,1,17,0,16,30,41,43,34,63,B,ON,Y,2350
14,1461,8,813,10,796,10,1032,7,1,252,99,41,79,1191,635,707,916,18,79,48,37,O,AB,Y,12158
16,57,3,36,4,1174,5,51,3,0,21,17,25,17,0,0,1128,0,36,19,21,34,G,QC,Y,78
17,429,4,701,3,1221,7,687,7,0,21,22,33,67,396,677,1141,586,12,2,47,34,G,AB,Y,15214
18,676,4,653,5,662,6,531,6,0,13,24,29,17,0,0,0,0,663,629,633,514,G,BC,Y,1899
19,69,4,86,5,387,7,149,4,0,19,42,69,63,45,25,87,49,5,19,231,37,G,ON,Y,5664
20,34,3,54,2,69,2,64,2,0,0,5,3,7,0,0,0,0,34,49,66,57,B,BC,Y,1951
21,238,4,277,5,288,3,258,5,0,109,91,76,86,108,153,192,136,21,33,20,36,G,QC,N,3537
22,87,5,42,3,26,2,31,2,1,29,20,16,14,11,0,0,0,47,22,10,17,B,QC,Y,141
23,42,1,942,4,813,3,107,2,0,0,9,4,0,42,924,796,105,0,9,13,2,G,AB,Y,5323
24,2290,9,2968,10,3279,12,2791,10,0,24,18,36,13,2061,2802,2971,2626,205,148,272,152,O,ON,Y,24034
25,111,3,130,5,99,5,140,6,0,4,6,2,5,0,0,0,0,107,124,97,135,G,AB,Y,11626
27,27,1,66,3,43,4,40,1,0,27,32,35,40,0,0,0,0,0,34,8,0,B,?,Y,6378
28,57,3,48,3,53,4,57,3,0,46,24,49,49,0,0,0,0,11,24,4,8,B,BC,Y,880
29,572,3,588,3,859,3,821,3,0,2,2,1,2,569,568,836,804,1,18,22,15,G,MB,Y,14612
30,49,3,48,3,36,3,37,2,0,43,37,26,32,0,0,0,0,6,11,10,5,B,BC,Y,2061
31,2083,5,1620,4,3758,4,2295,5,0,58,84,68,77,1905,1531,3683,2190,120,5,7,28,O,BC,Y,24872
32,124,3,206,3,56,2,68,3,1,0,0,0,0,114,195,43,58,10,11,13,10,B,ON,N,5335
33,20,1,13,1,14,1,19,3,0,20,13,14,17,0,0,0,0,0,0,0,2,B,ON,N,15042
34,1215,2,978,3,773,4,609,3,1,11,1,10,0,1204,959,758,607,0,18,5,2,G,BC,Y,36934
36,48,3,47,2,25,4,21,4,1,4,2,2,4,0,0,0,0,44,45,23,17,G,BC,Y,2098
37,64,7,73,7,159,8,103,9,0,6,6,33,22,6,5,35,2,52,62,91,79,G,NS,Y,740
38,236,4,154,3,245,5,138,4,0,3,0,4,1,175,114,173,87,58,40,68,50,G,ON,N,5936
39,110,5,143,6,121,5,138,4,0,8,36,17,18,0,0,0,0,102,107,104,120,G,NL,N,10428
41,43,2,45,3,36,2,51,2,0,39,33,35,46,0,0,0,0,4,12,1,5,B,QC,Y,448
43,1387,8,1953,8,2106,9,2553,8,0,73,190,100,98,1220,1639,1918,2370,94,124,88,85,O,ON,Y,44970
44,38,3,28,2,23,2,12,2,1,30,23,19,11,0,0,0,0,8,5,4,1,B,QC,N,93
46,17,1,165,4,15,3,38,3,0,0,12,5,25,17,143,2,0,0,10,8,13,G,AB,N,1935
49,146,3,113,2,117,2,154,2,0,0,0,0,0,141,109,114,147,5,4,3,7,B,ON,Y,1661
50,37,5,22,5,77,7,49,9,1,0,0,33,1,0,0,0,20,37,22,44,28,B,?,Y,6389
52,16,3,37,3,53,3,50,3,0,1,2,1,1,10,34,51,46,5,1,1,3,B,BC,Y,325
53,108,3,38,4,72,4,62,5,1,11,8,24,42,0,0,0,0,97,30,48,20,B,AB,N,2047
54,322,6,288,6,351,4,391,7,0,7,5,0,5,244,194,256,263,71,89,95,123,G,BC,Y,5093
55,221,4,275,5,223,6,271,4,0,119,131,107,167,0,0,0,0,102,144,116,104,G,QC,Y,1872
56,780,2,786,5,496,4,794,4,0,13,3,9,12,767,772,482,769,0,11,5,13,G,ON,N,25037
57,43,2,55,3,58,4,45,2,0,2,30,20,15,0,0,0,0,41,25,38,30,B,ON,N,1303
58,398,4,468,4,172,3,210,3,1,221,232,36,99,171,208,128,101,6,28,8,10,O,BC,Y,3025
59,148,3,50,4,118,7,21,4,1,128,14,84,2,0,0,0,0,20,36,34,19,G,AB,Y,1265
60,713,6,616,4,880,5,1092,3,0,58,82,40,85,612,516,812,1003,43,18,28,4,O,BC,Y,3903
